#header line GPU processors,avg,error_bar,run1,run2,run3
1,261.7877283,7.11587312,271.266852,257.0612271,257.0351058
4,64.40509802,0.033094675,64.37910816,64.44529751,64.39088838
8,32.26063984,0.0299523,32.29985145,32.23994685,32.24212123
12,21.74367562,0.128133805,21.73000358,21.87864544,21.62237783
16,16.3574136,0.02408891,16.38555966,16.33738184,16.34929931
20,13.49699135,0.24531133,13.80349428,13.37460815,13.31287162
24,11.28376403,0.243137285,11.12589737,11.11956007,11.60583464
28,10.3391194,0.02368539,10.33052445,10.31973148,10.36710226
32,9.342944233,0.161614585,9.5322722,9.20904303,9.28751747
36,8.31415454,0.163279475,8.16208838,8.29172791,8.48864733
40,7.827653533,0.286474455,7.56763817,7.77473535,8.14058708
44,7.008265457,0.079426145,7.08520455,7.01323956,6.92635226
48,6.708956637,0.03276597,6.73680584,6.6712739,6.71879017
