#header line GPU processors,avg,error_bar,run1,run2,run3
1,257.2784044,0.345708865,257.0355443,257.0727067,257.726962
4,257.9186379,0.62409889,257.5471196,258.7284959,257.4802982
8,258.4615831,0.354810005,258.5428152,258.7757771,258.0661571
12,266.816266,5.837767995,259.9365653,271.6121013,268.9001315
16,262.7932277,0.913373415,262.875914,261.8385112,263.6652581
20,266.8330357,0.61445982,266.3440952,267.5730148,266.5819971
24,272.0292489,5.793432225,267.5396038,279.1264682,269.4216746
28,291.5891973,3.155660575,295.1289531,288.8176319,290.8210069
32,295.7989757,2.808514675,292.420521,296.938856,298.0375503
36,301.6770552,4.337505375,300.7232081,306.4914841,297.8164734
40,310.4343958,10.89646997,300.6542153,308.201817,322.4471552
44,308.9632752,4.702928175,304.6845212,314.0903775,308.114927
48,314.0426618,9.10846916,310.3169553,325.0139842,306.7970459
