procs,time_11,time_31,scalability_11,scalability_31
1,69.61046612,555.2254677,1,1
2,35.28045444,277.8113439,1.973060359,1.99857018
3,23.59529094,185.5420927,2.950184691,2.992450175
4,20.03757472,139.2833062,3.473996584,3.986303044
5,14.47393328,111.250353,4.809367625,4.990774886
6,12.08024439,93.28272863,5.762339227,5.95207147
7,12.20323308,79.68960431,5.704264244,6.967351294
8,10.8473766,69.91247614,6.41726278,7.941722256
9,10.07479645,62.37493899,6.909367,8.901419011
10,9.37168554,55.98670018,7.427742408,9.917095773
11,8.61107919,50.76084354,8.083826032,10.93806621
12,8.67140105,46.88007689,8.027591587,11.84352724
13,7.5574116,43.18498583,9.210887246,12.8569098
14,7.34804859,40.28393786,9.473326866,13.78280022
15,6.94167047,37.62019143,10.02791279,14.75870926
16,7.77030502,35.21992204,8.958524272,15.76452858
17,6.77974686,33.01928874,10.26741375,16.81518557
18,6.97203977,31.60473231,9.984232508,17.5677953
19,6.56340353,29.78621053,10.6058489,18.64035263
20,6.30697868,30.04672341,11.03705429,18.47873594
21,6.34076019,27.18688042,10.97825245,20.42255158
22,6.33388333,25.78275932,10.99017183,21.53475743
23,6.07595595,25.20995804,11.45671014,22.02405362
24,5.9961623,23.92927999,11.60916977,23.20276531
