procs,time_11,time_31,scalability_11,scalabikity_31
1,29.45033222,234.480243,1,1
2,29.73372899,234.6992719,0.990468845,0.999066768
3,29.99564958,235.0271797,0.981820118,0.997672879
4,30.15952574,235.3831165,0.976485256,0.996164238
5,30.52228663,235.5224614,0.964879617,0.995574866
6,30.77973454,236.1031074,0.956809169,0.993126459
7,31.03257239,236.0750235,0.949013567,0.993244603
8,30.93639347,236.2792195,0.951963979,0.992386226
9,31.2440864,236.6609633,0.942589002,0.990785467
10,31.79729625,237.3155047,0.926189824,0.988052775
11,32.14547161,237.3252377,0.916158039,0.988012254
12,32.39151391,237.925312,0.909199005,0.985520376
13,32.63373118,238.0076584,0.902450659,0.985179404
14,32.72120635,238.0591224,0.900038095,0.984966426
15,32.97990337,238.8246653,0.892978123,0.981809156
16,32.7316318,238.1745625,0.899751421,0.984489026
17,33.64773183,238.7248835,0.875254605,0.98221953
18,33.59288162,239.3812758,0.876683714,0.979526248
19,33.87407677,238.7198526,0.869406196,0.98224023
20,34.09347063,239.6373046,0.863811506,0.978479721
21,34.26035505,240.1496937,0.859603824,0.976392013
22,34.90223693,240.8592215,0.843794977,0.973515739
23,35.18137995,240.4654072,0.837099973,0.975110082
24,35.44452322,241.9941086,0.830885269,0.968950213
